pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
climate,6124,climate,13760,climate,3373
change,6011,change,13535,change,3303
global,1220,global,4025,global,857
warm,1208,warm,3670,warm,834
trump,692,trump,2267,trump,455
new,653,say,1093,say,303
real,576,believe,1054,believe,207
say,468,go,845,make,198
believe,309,think,832,due,176
good,308,fight,781,world,176
fight,299,world,594,people,171
great,296,people,576,get,162
right,291,make,532,think,147
people,287,need,489,go,141
make,267,cause,466,worse,139
think,239,like,459,fuck,139
world,237,epa,450,bad,136
scientists,236,real,437,epa,136
like,235,scientists,424,like,135
get,231,die,423,deny,135
need,228,take,415,cold,132
know,226,could,410,cause,131
want,215,science,404,fight,127
cause,214,action,383,science,126
go,205,talk,380,take,125
science,200,donald,364,could,111
first,197,get,358,weather,109
one,195,time,357,scientists,109
action,194,hoax,355,know,108
talk,190,call,354,real,103
time,188,know,348,time,101
isnt,187,deny,343,fake,101
take,184,new,335,wrong,99
many,175,one,331,one,98
epa,165,help,323,news,95
top,162,impact,322,green,93
really,160,husband,304,effect,91
energy,159,paris,301,worst,90
best,159,stop,299,mean,89
impact,156,stephenschlegel,298,serious,85
would,154,issue,292,dangerous,84
see,149,president,277,stop,84
deny,146,combat,276,study,83
earth,144,tell,276,donald,82
important,142,energy,274,scott,80
im,142,want,271,hoax,79
much,141,china,270,call,78
must,140,study,264,extreme,78
clean,137,planet,264,see,78
could,135,use,261,destroy,78
news,133,years,254,years,77
issue,130,future,243,impact,77
help,130,may,240,may,76
thank,125,lead,239,talk,75
call,124,effect,237,come,73
better,122,isnt,236,carbon,73
stop,119,tackle,236,pruitt,72
hot,118,weather,235,want,71
hoax,118,report,234,need,70
weather,118,plan,229,help,67
threat,116,look,228,seriously,67
still,116,see,224,thats,67
plan,116,state,223,still,66
work,113,back,221,isnt,66
address,113,come,218,waste,65
china,109,carbon,217,deniers,65
show,109,sensanders,216,state,65
watch,108,show,214,question,65
realdonaldtrump,108,news,213,even,64
read,107,obama,213,tell,64
paris,106,must,212,im,64
look,106,earth,211,primary,64
live,105,today,211,realdonaldtrump,63
water,105,would,210,president,63
love,104,risk,207,poor,61
today,102,right,205,behind,60
come,102,millions,203,issue,59
study,102,threat,196,would,59
report,101,address,192,earth,58
interest,100,chinese,192,new,58
thing,100,un,189,slow,58
president,100,im,189,use,57
may,98,climatechange,186,fail,57
ever,98,work,186,show,57
use,97,agreement,183,give,56
tell,97,affect,181,look,56
state,97,national,181,head,56
planet,94,ice,181,energy,56
free,94,health,180,report,55
tackle,94,find,180,contributor,55
vote,92,still,179,find,54
also,92,oil,177,hard,54
way,90,act,175,stupid,54
find,90,human,175,chief,54
pruitt,89,let,175,water,53
years,88,save,174,rise,53
effect,88,warn,173,youre,53
environment,86,big,173,dioxide,53
donald,86,denier,173,warn,52
carbon,86,deal,171,blame,52
debate,86,deniers,171,year,51
combat,85,pruitt,171,way,51
youre,85,care,169,really,51
well,85,realdonaldtrump,168,leave,50
lead,85,house,168,must,49
worry,84,rise,167,thing,48
win,84,major,166,action,48
deniers,83,flood,165,end,48
climatechange,82,happen,165,threat,48
care,81,cant,165,also,48
thats,81,environment,164,let,48
scott,81,year,164,environment,48
flood,80,research,163,happen,48
face,80,yo,163,late,47
deal,80,order,163,polar,47
evidence,80,scott,163,devastate,47
year,79,even,162,sensanders,47
even,78,sea,161,denial,46
risk,78,due,161,planet,46
affect,78,well,159,denier,46
cant,77,white,159,lead,45
let,77,leaders,158,shit,45
economic,76,way,158,country,45
latest,75,berniesanders,157,deal,44
day,75,blame,156,less,43
government,75,create,154,health,43
challenge,75,head,154,man,42
air,74,cnn,154,claim,42
denier,74,fund,153,ice,42
sure,73,join,153,degrees,42
happen,71,give,152,cant,42
research,71,arctic,152,right,42
ignore,71,government,152,sad,42
give,70,debate,150,things,41
understand,70,also,150,kill,41
huge,69,heres,149,paris,41
move,69,cities,147,risk,41
support,69,start,146,hope,41
denial,69,thehill,146,spend,41
obama,69,face,142,sign,41
save,68,protect,142,keep,41
job,68,meet,142,cnn,41
post,68,sign,142,winter,40
agreement,67,support,141,bear,40
future,67,snow,141,today,40
protect,66,water,139,money,40
un,65,ignore,139,hes,39
human,65,discuss,138,face,39
na,63,level,137,start,39
policy,63,ask,137,http,38
man,63,security,137,already,38
reef,63,data,136,work,38
head,62,man,136,obama,38
snow,62,via,134,lie,37
meet,62,link,134,level,37
country,62,denial,134,save,37
lol,62,wont,133,scary,37
hear,62,efforts,133,policy,37
big,61,next,133,leaders,37
true,61,record,131,every,37
agree,61,last,131,least,36
video,61,coal,131,understand,36
greatest,61,policy,130,read,36
york,60,question,128,sea,36
warn,60,leave,128,military,36
wont,60,day,127,cost,36
winter,60,end,127,care,36
part,60,california,127,war,36
health,60,read,126,nytimes,36
listen,60,thats,125,countries,35
kid,59,company,124,climatechange,35
full,59,vote,124,debate,35
fuel,59,humans,124,arctic,35
learn,59,guardian,124,human,35
humans,59,threaten,124,put,35
article,58,public,123,office,35
act,58,biggest,123,scientific,35
rise,58,fuel,122,little,35
americans,58,challenge,122,vulnerable,34
level,57,every,121,terrify,34
htt,57,watch,120,address,34
create,57,keep,119,america,34
prove,56,clinton,118,hate,34
leave,56,nasa,118,fuel,34
sea,56,america,118,tax,34
end,56,put,117,data,34
oil,56,food,117,china,33
scientist,56,hillary,116,economy,33
lot,55,theres,116,nothing,33
